Precip_Date,Days,Date_bin,Precip_avg(mm)
2002-10-22,day_of,1,0.02600709221087561
2002-10-23,day_of,1,0.017095480236359442
2003-01-19,day_of,1,0.2044958834117659
2003-03-09,day_of,1,0.09615781154788319
2003-03-11,day_of,1,0.21810802817412514
2003-03-12,day_of,1,0.38791747480290917
2003-03-13,day_of,1,0.049756904423158506
2003-09-15,day_of,1,3.292505729726996
2003-09-18,day_of,1,1.2037382628995135
2003-10-30,day_of,1,0.0217180109248656
2003-11-02,day_of,1,0.015156631502481517
2003-11-03,day_of,1,0.012154793422916794
2004-10-05,day_of,1,0.26926510091283
2005-01-11,day_of,1,0.12725710322267303
2005-01-17,day_of,1,0.10103121876447888
2005-11-04,day_of,1,0.6073720688849338
2005-11-05,day_of,1,0.6363412032043546
2006-07-18,day_of,1,0.42683049636153836
2006-10-28,day_of,1,0.8059369437944645
2006-11-01,day_of,1,0.10684570523448068
2006-11-02,day_of,1,0.06841641615057435
2006-11-04,day_of,1,0.2799106777341128
2006-11-05,day_of,1,0.19169760673259714
2006-11-06,day_of,1,0.05012890063137143
2006-11-13,day_of,1,0.4857138445652817
2006-11-17,day_of,1,3.270423781215045
2006-11-19,day_of,1,0.26896172713256367
2006-11-22,day_of,1,0.16139820343733335
2006-11-24,day_of,1,0.09502692318141347
2007-04-13,day_of,1,0.00117270462348172
2007-07-06,day_of,1,0.05616706930434523
2007-08-27,day_of,1,0.051290290827083335
2007-10-24,day_of,1,2.665689473039213
2007-12-09,day_of,1,0.04408158720609171
2008-12-22,day_of,1,0.021212394122292814
2009-01-10,day_of,1,6.92589521388402
2009-01-16,day_of,1,0.2907901148278957
2009-01-22,day_of,1,0.00442688061679133
2009-01-23,day_of,1,0.023085492872628722
2009-01-30,day_of,1,4.705137967384769
2009-02-17,day_of,1,0.00015350860440789473
2009-02-28,day_of,1,0.0
2009-03-28,day_of,1,0.8734109943020792
2009-04-05,day_of,1,1.1689576991448405
2009-06-21,day_of,1,4.825785332307692e-05
2009-06-22,day_of,1,0.09561930175644005
2009-06-24,day_of,1,0.0
2009-07-05,day_of,1,0.27495081125000004
2009-08-05,day_of,1,0.05089282242594782
2009-09-11,day_of,1,0.007448049788391712
2009-09-20,day_of,1,0.01467437111491031
2009-09-23,day_of,1,0.013924202586347885
2009-09-30,day_of,1,0.0033543211276515147
2009-10-13,day_of,1,0.003964513910899997
2009-10-25,day_of,1,0.002053709228826085
2009-10-29,day_of,1,0.37216362570307243
2009-10-30,day_of,1,0.26727521880506966
2009-11-04,day_of,1,1.1265035981441065
2009-11-05,day_of,1,0.05739302685527103
2009-12-25,day_of,1,0.13105157339154513
2010-01-03,day_of,1,0.8906096331013633
2010-01-08,day_of,1,0.6868020918045441
2010-01-12,day_of,1,7.017865234131465
2010-01-24,day_of,1,0.18506230636092597
2010-01-25,day_of,1,0.23513810669620294
2010-02-09,day_of,1,0.666404728696378
2010-03-23,day_of,1,0.6756743734592151
2010-04-19,day_of,1,0.2380483808809433
2010-08-18,day_of,1,2.6234851840706868
2010-12-01,day_of,1,0.04350235241512345
2010-12-23,day_of,1,0.001376956735652174
2011-01-12,day_of,1,0.18309535302148958
2011-11-02,day_of,1,4.701771390540552
2012-10-23,day_of,1,0.015305486228288642
2012-10-24,day_of,1,0.02814838959233229
2012-10-25,day_of,1,0.10847113835454407
2012-10-27,day_of,1,0.10301952201417654
2012-11-07,day_of,1,0.11804322240841386
2012-12-04,day_of,1,0.5461680428944158
2013-11-08,day_of,1,0.07605544451928052
2013-11-16,day_of,1,0.5585451400723281
2013-11-17,day_of,1,1.35465748723069
2014-10-28,day_of,1,0.03998374077487002
2015-04-01,day_of,1,1.650711689698078
2015-04-02,day_of,1,0.5351234824341164
2015-04-24,day_of,1,0.006447100388646608
2015-05-20,day_of,1,0.4008170175661495
2015-05-21,day_of,1,0.05041921278576818
2015-05-22,day_of,1,0.13512831613147974
2015-11-13,day_of,1,0.5715306365816539
2016-02-20,day_of,1,1.0238512744002364
2016-10-06,day_of,1,0.0236930620638384
2016-10-23,day_of,1,0.4381505967481815
2016-10-24,day_of,1,0.032780718873433284
2016-10-25,day_of,1,0.016210748143927197
2017-11-07,day_of,1,3.034099759040419
2017-11-08,day_of,1,0.17203742873055702
2017-11-11,day_of,1,0.3088636445577484
2017-11-13,day_of,1,0.2968301253391127
2017-11-14,day_of,1,0.043270582658669725
2017-11-15,day_of,1,0.10940204163313652
2017-11-18,day_of,1,0.055024982783967474
2018-01-20,day_of,1,0.019925715777235776
2018-01-28,day_of,1,0.011103451036290325
2018-02-03,day_of,1,0.06461599896209676
2018-02-17,day_of,1,0.02192386891351465
2018-05-08,day_of,1,0.2490945661056791
2018-10-31,day_of,1,0.003021244399530202
2018-11-01,day_of,1,0.013108094878839594
2019-02-25,day_of,1,0.01385901735337955
2019-03-26,day_of,1,2.231824188405293
2019-11-09,day_of,1,0.09673453660779571
